SYNIS_ID,MAELIADGERD,TEGUND,NR,RADNR,LENGD,KYN,KYNTHROSKI,FJOLDI,OSLAEGT,SLAEGT,LIFUR,MAGI,KYNFAERI,HEILDARTHYNGD,RANFISKURTEG,KVARNANR,MAGAASTAND,ALDUR,FAERSLUNUMER
158,20,310,3,10,,,,1,,,,,,30,1,3,,,15820310003
158,3,1,7,20,89,1,4,1,6740,6190,20,245,,,,,1,,15803001007
158,20,302,1,21,,,,1,,,,,,200,1,7,,,15820302001
158,3,1,8,22,85,2,4,1,5430,5010,65,160,,,,,1,,15803001008
158,20,302,2,23,,,,1,,,,,,50,1,8,,,15820302002
158,20,41,2,24,,,,1,,,,,,,1,8,,,15820041002
158,3,2,1,25,47,1,4,1,700,600,50,30,,,,,1,,15803002001
158,20,41,3,26,,,,1,,,,,,,2,1,,,15820041003
158,20,305,1,27,,,,1,,,,,,10,2,1,,,15820305001
158,3,2,2,28,47,1,1,1,700,600,0,,,,,,,,15803002002
158,3,1,9,29,90,1,1,1,6800,6200,0,250,,,,,1,,15803001009
158,20,300,1,30,,,,1,,,,,,50,1,9,,,15820300001
158,3,1,10,31,90,1,1,1,6800,6200,0,250,,,,,1,,15803001010
158,20,300,2,32,,,,1,,,,,,40,1,10,,,15820300002
158,3,1,11,33,54,1,1,1,0,0,0,0,,,,,1,,15803001011
158,3,1,1,1,31,2,2,1,550,495,,,,,,,,,15803001001
158,3,1,4,11,47,1,1,1,740,640,50,40,,,,,1,,15803001004
158,20,41,1,12,,,,1,,,,,,,1,4,,,15820041001
158,21,555,1,17,5,,,1,,,,,,,1,6,,,15821555001
158,3,1,5,13,50,2,1,1,800,650,70,50,,,,,1,,15803001005
158,20,314,1,14,,,,10,,,,,,0,1,5,,,15820314001
158,3,1,6,19,50,1,1,1,800,650,100,40,,,,,1,,15803001006
158,20,555,1,16,,,,1,,,,,,,,,,,15820555001
158,21,555,2,18,,,,1,,,,,,,,,,,15821555002
158,3,1,2,2,47,1,2,1,740,700,0,10,100,,,,3,,15803001002
158,3,1,3,3,47,2,4,1,740,640,50,35,,,,,1,,15803001003
158,20,197,1,4,,,,1,,,,,,0,1,3,,,15820197001
158,20,2,1,5,,,,1,,,,,,0,1,3,,,15820002001
158,20,1,1,6,,,,1,,,,,,0,1,3,,,15820001001
158,20,5,1,7,,,,1,,,,,,10,1,3,,,15820005001
158,20,310,1,8,,,,1,,,,,,10,1,3,,,15820310001
158,20,310,2,9,,,,1,,,,,,20,1,3,,,15820310002
159,3,1,5,5,80,2,1,1,5210,4825,70,140,,,,,,,15903001005
159,3,1,4,4,76,1,1,1,3530,3285,45,85,,,,,2,,15903001004
159,3,1,3,3,69,1,1,1,3025,2775,30,70,,,,,4,,15903001003
159,3,1,1,1,89,1,,1,6760,,,,,,,,,,15903001001
159,3,1,2,2,89,1,4,1,6740,6190,20,245,,,,,1,,15903001002
159,3,1,8,8,85,2,4,1,5220,4820,0,-1,,,,,,,15903001008
159,3,1,9,9,80,2,1,1,4970,4515,140,85,,,,,5,,15903001009
159,3,1,6,6,76,2,1,1,5100,4645,115,115,,,,,,,15903001006
159,3,1,11,14,,,,1,,,,,,,,,,,15903001011
159,20,41,2,13,,,,1,,,,,,0,1,10,,,15920041002
159,20,41,1,12,,,,1,,,,,,0,1,10,,,15920041001
159,20,6,1,11,,,,1,,,,,,,,,,,15920006001
159,3,1,10,10,80,2,1,1,4500,4125,0,150,,,,,1,,15903001010
159,3,1,7,7,87,1,4,1,6100,5800,5800,100,,,,,2,,15903001007
160,3,2,6,9,40,1,1,1,615,560,20,5,,,,,2,,16003002006
160,3,2,21,32,39,1,1,1,530,485,15,10,,,,,2,,16003002021
160,20,459,7,31,,,,1,,,,,,0,2,20,,,16020459007
160,3,2,20,30,43,1,1,1,665,605,20,10,,,,,1,,16003002020
160,3,2,19,29,41,1,1,1,640,580,20,5,,,,,2,,16003002019
160,20,459,6,28,,,,1,,,,,,5,2,18,,,16020459006
160,3,2,18,27,43,2,1,1,750,665,20,10,,,,,1,,16003002018
160,3,2,17,26,34,1,1,1,350,320,5,5,,,,,2,,16003002017
160,20,459,5,25,,,,1,,,,,,5,2,16,,,16020459005
160,3,2,16,24,44,1,1,1,770,710,10,10,,,,,1,,16003002016
160,20,302,3,23,,,,1,,,,,,0,2,15,,,16020302003
160,3,2,15,22,39,1,1,1,475,445,5,5,,,,,1,,16003002015
160,3,2,14,21,41,2,1,1,575,520,20,5,,,,,2,,16003002014
160,20,302,2,20,,,,1,,,,,,20,2,13,,,16020302002
160,3,2,13,19,40,1,1,1,620,545,20,25,,,,,1,,16003002013
160,20,302,1,18,,,,1,,,,,,1,2,12,,,16020302001
160,3,2,1,1,45,2,1,1,810,730,25,10,,,,,1,,16003002001
160,20,459,1,2,,,,1,,,,,,0,2,1,,,16020459001
160,3,2,2,3,43,2,1,1,660,595,15,5,,,,,2,,16003002002
160,3,2,3,4,39,2,1,1,650,585,15,15,,,,,1,,16003002003
160,20,459,2,5,,,,1,,,,,,10,2,3,,,16020459002
160,3,2,4,6,41,2,1,1,650,590,25,5,,,,,4,,16003002004
160,3,2,5,7,40,1,1,1,605,545,25,5,,,,,1,,16003002005
160,20,459,3,8,,,,1,,,,,,0,2,5,,,16020459003
160,3,2,7,10,44,2,1,1,785,720,20,10,,,,,2,,16003002007
160,3,2,8,11,41,1,1,1,645,575,30,5,,,,,1,,16003002008
160,20,459,4,12,,,,1,,,,,,0,2,8,,,16020459004
160,3,2,9,13,43,1,1,1,675,615,20,10,,,,,2,,16003002009
160,3,2,10,14,39,1,1,1,510,455,25,5,,,,,2,,16003002010
160,3,2,11,15,41,2,1,1,620,570,15,5,,,,,2,,16003002011
160,3,2,12,16,44,2,1,1,765,670,20,40,,,,,1,,16003002012
160,20,44,1,17,,,,1,,,,,,,2,12,,,16020044001
180,20,310,1,3,,,,1,,,,,,0,2,2,,,18020310001
180,3,2,10,15,40,2,1,1,635,565,15,10,,,,,1,,18003002010
180,20,459,1,4,,,,1,,,,,,0,2,1,,,18020459001
180,20,459,2,5,,,,1,,,,,,0,2,2,,,18020459002
180,20,302,1,7,,,,1,,,,,,5,2,3,,,18020302001
180,3,2,1,1,43,1,1,1,750,675,20,10,,,,,1,,18003002001
